date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2019-11-26,1.0000,1.0000,1.000000,0.000000,1.0000,
2019-11-29,1.0003,1.0003,1.000300,0.000000,1.0000,
2019-12-06,1.0005,1.0005,1.000500,0.000000,1.0000,
2019-12-13,1.0013,1.0013,1.001300,0.000000,1.0000,
2019-12-17,1.0049,1.0049,1.004900,0.000000,1.0000,
2019-12-18,1.0032,1.0032,1.003200,0.000000,1.0000,
2019-12-19,1.0042,1.0042,1.004200,0.000000,1.0000,
2019-12-20,1.0006,1.0006,1.000600,0.000000,1.0000,
2019-12-23,0.9896,0.9896,0.989600,0.000000,1.0000,
2019-12-24,0.9946,0.9946,0.994600,0.000000,1.0000,
2019-12-25,0.9935,0.9935,0.993500,0.000000,1.0000,
2019-12-26,1.0036,1.0036,1.003600,0.000000,1.0000,
2019-12-27,1.0019,1.0019,1.001900,0.000000,1.0000,
2019-12-30,1.0139,1.0139,1.013900,0.000000,1.0000,
2019-12-31,1.0197,1.0197,1.019700,0.000000,1.0000,
2020-01-02,1.0336,1.0336,1.033600,0.000000,1.0000,
2020-01-03,1.0333,1.0333,1.033300,0.000000,1.0000,
2020-01-06,1.0297,1.0297,1.029700,0.000000,1.0000,
2020-01-07,1.0379,1.0379,1.037900,0.000000,1.0000,
2020-01-08,1.0262,1.0262,1.026200,0.000000,1.0000,
2020-01-09,1.0387,1.0387,1.038700,0.000000,1.0000,
2020-01-10,1.0350,1.0350,1.035000,0.000000,1.0000,
2020-01-13,1.0420,1.0420,1.042000,0.000000,1.0000,
2020-01-14,1.0430,1.0430,1.043000,0.000000,1.0000,
2020-01-15,1.0379,1.0379,1.037900,0.000000,1.0000,
2020-01-16,1.0326,1.0326,1.032600,0.000000,1.0000,
2020-01-17,1.0331,1.0331,1.033100,0.000000,1.0000,
2020-01-20,1.0350,1.0350,1.035000,0.000000,1.0000,
2020-01-21,1.0169,1.0169,1.016900,0.000000,1.0000,
2020-01-22,1.0206,1.0206,1.020600,0.000000,1.0000,
2020-01-23,0.9956,0.9956,0.995600,0.000000,1.0000,
2020-02-03,0.9100,0.9100,0.910000,0.000000,1.0000,
2020-02-04,0.9285,0.9285,0.928500,0.000000,1.0000,
2020-02-05,0.9393,0.9393,0.939300,0.000000,1.0000,
2020-02-06,0.9510,0.9510,0.951000,0.000000,1.0000,
2020-02-07,0.9544,0.9544,0.954400,0.000000,1.0000,
2020-02-10,0.9686,0.9686,0.968600,0.000000,1.0000,
2020-02-11,0.9724,0.9724,0.972400,0.000000,1.0000,
2020-02-12,0.9790,0.9790,0.979000,0.000000,1.0000,
2020-02-13,0.9737,0.9737,0.973700,0.000000,1.0000,
2020-02-14,0.9808,0.9808,0.980800,0.000000,1.0000,
2020-02-17,1.0004,1.0004,1.000400,0.000000,1.0000,
2020-02-18,1.0035,1.0035,1.003500,0.000000,1.0000,
2020-02-19,0.9993,0.9993,0.999300,0.000000,1.0000,
2020-02-20,1.0131,1.0131,1.013100,0.000000,1.0000,
2020-02-21,1.0181,1.0181,1.018100,0.000000,1.0000,
2020-02-24,1.0111,1.0111,1.011100,0.000000,1.0000,
2020-02-25,1.0014,1.0014,1.001400,0.000000,1.0000,
2020-02-26,1.0013,1.0013,1.001300,0.000000,1.0000,
2020-02-27,1.0050,1.0050,1.005000,0.000000,1.0000,
2020-02-28,0.9743,0.9743,0.974300,0.000000,1.0000,
2020-03-02,1.0119,1.0119,1.011900,0.000000,1.0000,
2020-03-03,1.0120,1.0120,1.012000,0.000000,1.0000,
2020-03-04,1.0245,1.0245,1.024500,0.000000,1.0000,
2020-03-05,1.0369,1.0369,1.036900,0.000000,1.0000,
2020-03-06,1.0249,1.0249,1.024900,0.000000,1.0000,
2020-03-09,0.9938,0.9938,0.993800,0.000000,1.0000,
2020-03-10,1.0112,1.0112,1.011200,0.000000,1.0000,
2020-03-11,1.0024,1.0024,1.002400,0.000000,1.0000,
2020-03-12,0.9850,0.9850,0.985000,0.000000,1.0000,
2020-03-13,0.9700,0.9700,0.970000,0.000000,1.0000,
2020-03-16,0.9405,0.9405,0.940500,0.000000,1.0000,
2020-03-17,0.9373,0.9373,0.937300,0.000000,1.0000,
2020-03-18,0.9241,0.9241,0.924100,0.000000,1.0000,
2020-03-19,0.9152,0.9152,0.915200,0.000000,1.0000,
2020-03-20,0.9279,0.9279,0.927900,0.000000,1.0000,
2020-03-23,0.9016,0.9016,0.901600,0.000000,1.0000,
2020-03-24,0.9232,0.9232,0.923200,0.000000,1.0000,
2020-03-25,0.9418,0.9418,0.941800,0.000000,1.0000,
2020-03-26,0.9330,0.9330,0.933000,0.000000,1.0000,
2020-03-27,0.9397,0.9397,0.939700,0.000000,1.0000,
2020-03-30,0.9278,0.9278,0.927800,0.000000,1.0000,
2020-03-31,0.9262,0.9262,0.926200,0.000000,1.0000,
2020-04-01,0.9207,0.9207,0.920700,0.000000,1.0000,
2020-04-02,0.9340,0.9340,0.934000,0.000000,1.0000,
2020-04-03,0.9291,0.9291,0.929100,0.000000,1.0000,
2020-04-07,0.9459,0.9459,0.945900,0.000000,1.0000,
2020-04-08,0.9452,0.9452,0.945200,0.000000,1.0000,
2020-04-09,0.9480,0.9480,0.948000,0.000000,1.0000,
2020-04-10,0.9384,0.9384,0.938400,0.000000,1.0000,
2020-04-13,0.9359,0.9359,0.935900,0.000000,1.0000,
2020-04-14,0.9476,0.9476,0.947600,0.000000,1.0000,
2020-04-15,0.9425,0.9425,0.942500,0.000000,1.0000,
2020-04-16,0.9399,0.9399,0.939900,0.000000,1.0000,
2020-04-17,0.9427,0.9427,0.942700,0.000000,1.0000,
2020-04-20,0.9494,0.9494,0.949400,0.000000,1.0000,
2020-04-21,0.9438,0.9438,0.943800,0.000000,1.0000,
2020-04-22,0.9480,0.9480,0.948000,0.000000,1.0000,
2020-04-23,0.9452,0.9452,0.945200,0.000000,1.0000,
2020-04-24,0.9396,0.9396,0.939600,0.000000,1.0000,
